id,identity_code,inter_time,inter_flag,inter_mobile_identity_code,major_minor,rssi,distance,place,upload_time
76822,defe41cc,2023/02/21 12:10:14,1,fedc20debletest0,,-71.0,2,,1676952619000
76843,defe41cc,2023/02/21 12:10:36,1,fedc20debletest0,,-68.0,2,,1676952645000
76840,defe41cc,2023/02/21 12:10:40,1,fedc20debletest0,,-65.5,2,,1676952645000
76907,defe41cc,2023/02/21 12:11:07,1,fedc20debletest0,,-87.0,5,,1676952671000
76935,defe41cc,2023/02/21 12:11:16,1,fedc20debletest0,,-98.0,5,,1676952684000
76954,defe41cc,2023/02/21 12:11:46,1,fedc20debletest0,,-104.0,5,,1676952711000
77007,defe41cc,2023/02/21 12:11:55,1,fedc20debletest0,,-81.5,3,,1676952724000
77008,defe41cc,2023/02/21 12:12:12,1,fedc20debletest0,,-86.0,5,,1676952737000
77067,defe41cc,2023/02/21 12:12:21,1,fedc20debletest0,,-91.0,5,,1676952750000
77094,defe41cc,2023/02/21 12:12:48,1,fedc20debletest0,,-80.0,3,,1676952776000
77099,defe41cc,2023/02/21 12:12:51,1,fedc20debletest0,,-80.66666666666667,3,,1676952776000
77137,defe41cc,2023/02/21 12:13:01,1,fedc20debletest0,,-81.0,3,,1676952789000
77139,defe41cc,2023/02/21 12:13:18,1,fedc20debletest0,,-71.2,2,,1676952802000
77156,defe41cc,2023/02/21 12:13:27,1,fedc20debletest0,,-86.6,5,,1676952816000
77186,defe41cc,2023/02/21 12:13:53,1,fedc20debletest0,,-81.0,3,,1676952842000
77197,defe41cc,2023/02/21 12:13:54,1,fedc20debletest0,,-80.5,3,,1676952842000
77184,defe41cc,2023/02/21 12:13:57,1,fedc20debletest0,,-83.28571428571429,3,,1676952842000
77272,defe41cc,2023/02/21 12:14:06,1,fedc20debletest0,,-87.0,5,,1676952855000
77316,defe41cc,2023/02/21 12:14:59,1,fedc20debletest0,,-78.0,3,,1676952908000
77313,defe41cc,2023/02/21 12:15:03,1,fedc20debletest0,,-71.85714285714286,2,,1676952908000
77354,defe41cc,2023/02/21 12:15:12,1,fedc20debletest0,,-80.0,3,,1676952921000
77355,defe41cc,2023/02/21 12:15:29,1,fedc20debletest0,,-74.4,2,,1676952934000
77411,defe41cc,2023/02/21 12:15:38,1,fedc20debletest0,,-73.71428571428571,2,,1676952947000
77419,defe41cc,2023/02/21 12:15:42,1,fedc20debletest0,,-85.85714285714286,5,,1676952947000
77586,defe41cc,2023/02/21 12:16:35,1,fedc20debletest0,,-80.57142857142857,3,,1676952999000
77631,defe41cc,2023/02/21 12:16:44,1,fedc20debletest0,,-75.0,2,,1676953013000
77629,defe41cc,2023/02/21 12:16:48,1,fedc20debletest0,,-85.16666666666667,5,,1676953013000
77709,defe41cc,2023/02/21 12:17:10,1,fedc20debletest0,,-78.14285714285714,3,,1676953039000
77706,defe41cc,2023/02/21 12:17:14,1,fedc20debletest0,,-76.4,3,,1676953039000
77751,defe41cc,2023/02/21 12:17:23,1,fedc20debletest0,,-80.0,3,,1676953052000
77753,defe41cc,2023/02/21 12:17:41,1,fedc20debletest0,,-75.81818181818181,2,,1676953065000
77817,defe41cc,2023/02/21 12:17:50,1,fedc20debletest0,,-87.4,5,,1676953078000
77821,defe41cc,2023/02/21 12:17:54,1,fedc20debletest0,,-79.0,3,,1676953078000
77990,defe41cc,2023/02/21 12:18:16,1,fedc20debletest0,,-75.5,2,,1676953105000
77989,defe41cc,2023/02/21 12:18:20,1,fedc20debletest0,,-85.0,5,,1676953105000
78085,defe41cc,2023/02/21 12:18:29,1,fedc20debletest0,,-78.66666666666667,3,,1676953118000
78087,defe41cc,2023/02/21 12:18:46,1,fedc20debletest0,,-88.0,5,,1676953131000
78088,defe41cc,2023/02/21 12:18:47,1,fedc20debletest0,,-85.28571428571429,5,,1676953131000
78112,defe41cc,2023/02/21 12:18:55,1,fedc20debletest0,,-73.25,2,,1676953144000
78111,defe41cc,2023/02/21 12:18:59,1,fedc20debletest0,,-76.0,3,,1676953144000
78228,defe41cc,2023/02/21 12:19:22,1,fedc20debletest0,,-79.0,3,,1676953170000
78227,defe41cc,2023/02/21 12:19:26,1,fedc20debletest0,,-83.5,3,,1676953170000
78320,defe41cc,2023/02/21 12:19:35,1,fedc20debletest0,,-80.5,3,,1676953183000
78432,defe41cc,2023/02/21 12:19:52,1,fedc20debletest0,,-83.0,3,,1676953197000
