id,identity_code,inter_time,inter_flag,inter_mobile_identity_code,major_minor,rssi,distance,place,upload_time
88711,164732b9,2023/02/21 13:14:20,1,0926bde8bletest0,null,-58,1,,1676956540000
88727,164732b9,2023/02/21 13:14:21,1,0926bde8bletest0,null,-62.75,1,,1676956540000
88742,164732b9,2023/02/21 13:14:25,1,0926bde8bletest0,null,-59,1,,1676956540000
88748,164732b9,2023/02/21 13:14:26,1,0926bde8bletest0,null,-61.666666666666664,1,,1676956540000
88760,164732b9,2023/02/21 13:14:29,1,0926bde8bletest0,null,-58.666666666666664,1,,1676956540000
89355,164732b9,2023/02/21 13:15:49,1,0926bde8bletest0,null,-55.666666666666664,1,,1676956636000
89356,164732b9,2023/02/21 13:15:53,1,0926bde8bletest0,null,-60.666666666666664,1,,1676956636000
89357,164732b9,2023/02/21 13:16:37,1,0926bde8bletest0,null,-66,2,,1676956636000
89368,164732b9,2023/02/21 13:15:54,1,0926bde8bletest0,null,-60,1,,1676956636000
89369,164732b9,2023/02/21 13:16:41,1,0926bde8bletest0,null,-82,3,,1676956636000
89375,164732b9,2023/02/21 13:16:42,1,0926bde8bletest0,null,-67.5,2,,1676956636000
89376,164732b9,2023/02/21 13:15:57,1,0926bde8bletest0,null,-63.666666666666664,1,,1676956636000
89382,164732b9,2023/02/21 13:16:01,1,0926bde8bletest0,null,-67.16666666666667,2,,1676956636000
89385,164732b9,2023/02/21 13:16:02,1,0926bde8bletest0,null,-67,2,,1676956636000
89871,164732b9,2023/02/21 13:17:20,1,0926bde8bletest0,null,-73,2,,1676956727000
89884,164732b9,2023/02/21 13:17:59,1,0926bde8bletest0,null,-68,2,,1676956727000
89885,164732b9,2023/02/21 13:17:21,1,0926bde8bletest0,null,-78.33333333333333,3,,1676956727000
89890,164732b9,2023/02/21 13:18:00,1,0926bde8bletest0,null,-81.66666666666667,3,,1676956727000
89891,164732b9,2023/02/21 13:17:25,1,0926bde8bletest0,null,-68,2,,1676956727000
89901,164732b9,2023/02/21 13:17:26,1,0926bde8bletest0,null,-63,1,,1676956727000
90457,164732b9,2023/02/21 13:19:34,1,0926bde8bletest0,null,-65,1,,1676956826000
90464,164732b9,2023/02/21 13:19:38,1,0926bde8bletest0,null,-67,2,,1676956826000
90468,164732b9,2023/02/21 13:19:42,1,0926bde8bletest0,null,-72,2,,1676956826000
90474,164732b9,2023/02/21 13:19:43,1,0926bde8bletest0,null,-67,2,,1676956826000
91664,164732b9,2023/02/21 13:22:24,1,0926bde8bletest0,null,-64,1,,1676957025000
